Month,Day,Hour,PV-1 Solar Power,PV-2 Solar Power
2,1,6,0.0,0.0
2,1,7,0.0,0.0
2,1,8,0.0,0.0
2,1,9,-0.0,-0.0
2,1,10,22.218039,29.081343
2,1,11,50.988548,67.009586
2,1,12,71.65733800000001,94.502762
2,1,13,70.62898299999999,93.14886100000001
2,1,14,81.81872299999999,108.13248
2,1,15,66.191714,87.270421
2,1,16,66.86719000000001,88.165155
2,1,17,42.611999000000004,55.972029
2,1,18,12.606549000000001,16.495119
2,1,19,-0.0,-0.0
2,1,20,0.0,0.0
2,1,21,0.0,0.0
2,1,22,0.0,0.0
2,1,23,0.0,0.0
2,2,0,0.0,0.0
2,2,1,0.0,0.0
2,2,2,0.0,0.0
2,2,3,0.0,0.0
2,2,4,0.0,0.0
2,2,5,0.0,0.0
2,2,6,0.0,0.0
2,2,7,0.0,0.0
2,2,8,0.0,0.0
2,2,9,0.09145600000000001,0.10761799999999999
2,2,10,25.738077,33.722148000000004
2,2,11,58.114898000000004,76.502024
2,2,12,84.854264,112.207169
2,2,13,100.915044,133.82002799999998
2,2,14,106.22080199999999,141.00564799999998
2,2,15,101.18888199999999,134.21658100000002
2,2,16,85.848377,113.57301700000001
2,2,17,60.548524,79.798642
2,2,18,26.241889,34.418251
2,2,19,-0.0,-0.0
2,2,20,0.0,0.0
2,2,21,0.0,0.0
2,2,22,0.0,0.0
2,2,23,0.0,0.0
2,3,0,0.0,0.0
2,3,1,0.0,0.0
2,3,2,0.0,0.0
2,3,3,0.0,0.0
2,3,4,0.0,0.0
2,3,5,0.0,0.0
2,3,6,0.0,0.0
2,3,7,0.0,0.0
2,3,8,0.0,0.0
2,3,9,1.1162180000000002,1.449325
2,3,10,24.944243,32.677783
2,3,11,58.096182,76.473958
2,3,12,93.78794500000001,124.25497100000001
2,3,13,108.03232700000001,143.529445
2,3,14,112.878813,150.09303599999998
2,3,15,107.49623,142.78175099999999
2,3,16,91.67241,121.418115
2,3,17,65.84282300000001,86.86206299999999
2,3,18,29.595457999999997,38.833802000000006
2,3,19,0.135202,0.165692
2,3,20,0.0,0.0
2,3,21,0.0,0.0
2,3,22,0.0,0.0
2,3,23,0.0,0.0
2,4,0,0.0,0.0
2,4,1,0.0,0.0
